,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss,5_test_L0_t_103,5_test_acc_t_103,5_test_loss_t_103,5_test_L0_t_104,5_test_acc_t_104,5_test_loss_t_104,5_test_L0_t_105,5_test_acc_t_105,5_test_loss_t_105,5_test_L0_t_108,5_test_acc_t_108,5_test_loss_t_108,5_test_L0_t_109,5_test_acc_t_109,5_test_loss_t_109
0,1.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,35.0,wideresnet50,32.0,0.01,-1.0,None,,,,,,,,,,,,,,,,,,
1,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,32.0,0.01,-1.0,None,0.0,1.0,0.06302332878112793,0.0,1.0,0.06302332878112793,,,,,,,,,,,,
2,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,32.0,0.01,-1.0,None,0.0,0.4052734375,2.293056011199951,,,,0.0,0.4052734375,2.293056011199951,,,,,,,,,
3,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,32.0,0.01,-1.0,None,0.0,0.259765625,2.1490418910980225,,,,,,,0.0,0.259765625,2.1490418910980225,,,,,,
4,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,32.0,0.01,-1.0,None,0.0,0.9990234375,0.062200963497161865,,,,,,,,,,0.0,0.9990234375,0.062200963497161865,,,
5,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,32.0,0.01,-1.0,None,0.0,0.998046875,0.06146068871021271,,,,,,,,,,,,,0.0,0.998046875,0.06146068871021271
6,2.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,16.0,wideresnet50,64.0,0.01,-1.0,None,,,,,,,,,,,,,,,,,,
7,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,64.0,0.01,-1.0,None,0.0,0.9990234375,0.07177409529685974,0.0,0.9990234375,0.07177409529685974,,,,,,,,,,,,
8,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,64.0,0.01,-1.0,None,0.0,0.28593748807907104,2.230759620666504,,,,0.0,0.28593748807907104,2.230759620666504,,,,,,,,,
9,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,64.0,0.01,-1.0,None,0.0,0.33808594942092896,2.1178042888641357,,,,,,,0.0,0.33808594942092896,2.1178042888641357,,,,,,
10,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,64.0,0.01,-1.0,None,0.0,0.99609375,0.07723098248243332,,,,,,,,,,0.0,0.99609375,0.07723098248243332,,,
11,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,64.0,0.01,-1.0,None,0.0,0.99609375,0.08341334015130997,,,,,,,,,,,,,0.0,0.99609375,0.08341334015130997
12,3.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,14.0,wideresnet50,32.0,0.001,-1.0,None,,,,,,,,,,,,,,,,,,
13,3.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,32.0,0.001,-1.0,None,0.0,0.998046875,0.07798308879137039,0.0,0.998046875,0.07798308879137039,,,,,,,,,,,,
14,3.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,32.0,0.001,-1.0,None,0.0,0.3525390625,2.25185489654541,,,,0.0,0.3525390625,2.25185489654541,,,,,,,,,
15,3.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,32.0,0.001,-1.0,None,0.0,0.30859375,2.119596004486084,,,,,,,0.0,0.30859375,2.119596004486084,,,,,,
16,3.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,32.0,0.001,-1.0,None,0.0,0.9970703125,0.08196301758289337,,,,,,,,,,0.0,0.9970703125,0.08196301758289337,,,
17,3.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,32.0,0.001,-1.0,None,0.0,0.99609375,0.06670866906642914,,,,,,,,,,,,,0.0,0.99609375,0.06670866906642914
18,4.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,5.0,wideresnet50,64.0,0.001,-1.0,None,,,,,,,,,,,,,,,,,,
19,4.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,64.0,0.001,-1.0,None,0.0,0.99609375,0.08474001288414001,0.0,0.99609375,0.08474001288414001,,,,,,,,,,,,
20,4.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,64.0,0.001,-1.0,None,0.0,0.29609376192092896,2.1572113037109375,,,,0.0,0.29609376192092896,2.1572113037109375,,,,,,,,,
21,4.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,64.0,0.001,-1.0,None,0.0,0.3470703065395355,2.0837745666503906,,,,,,,0.0,0.3470703065395355,2.0837745666503906,,,,,,
