,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss,5_test_L0_t_103,5_test_acc_t_103,5_test_loss_t_103,5_test_L0_t_104,5_test_acc_t_104,5_test_loss_t_104,5_test_L0_t_105,5_test_acc_t_105,5_test_loss_t_105,5_test_L0_t_108,5_test_acc_t_108,5_test_loss_t_108,5_test_L0_t_109,5_test_acc_t_109,5_test_loss_t_109
0,1.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,16.0,resnet50,32.0,0.01,-1.0,None,,,,,,,,,,,,,,,,,,
1,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,resnet50,32.0,0.01,-1.0,None,0.0,0.9990234375,0.1165231466293335,0.0,0.9990234375,0.1165231466293335,,,,,,,,,,,,
2,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,resnet50,32.0,0.01,-1.0,None,0.0,0.4873046875,1.754156231880188,,,,0.0,0.4873046875,1.754156231880188,,,,,,,,,
3,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,resnet50,32.0,0.01,-1.0,None,0.0,0.310546875,2.0903635025024414,,,,,,,0.0,0.310546875,2.0903635025024414,,,,,,
4,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,resnet50,32.0,0.01,-1.0,None,0.0,0.9990234375,0.0640251561999321,,,,,,,,,,0.0,0.9990234375,0.0640251561999321,,,
5,1.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,resnet50,32.0,0.01,-1.0,None,0.0,0.9921875,0.2706854045391083,,,,,,,,,,,,,0.0,0.9921875,0.2706854045391083
6,2.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,16.0,resnet50,64.0,0.01,-1.0,None,,,,,,,,,,,,,,,,,,
7,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,resnet50,64.0,0.01,-1.0,None,0.0,0.9990234375,0.06787703186273575,0.0,0.9990234375,0.06787703186273575,,,,,,,,,,,,
8,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,resnet50,64.0,0.01,-1.0,None,0.0,0.2763671875,2.2300002574920654,,,,0.0,0.2763671875,2.2300002574920654,,,,,,,,,
9,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,resnet50,64.0,0.01,-1.0,None,0.0,0.2978515625,2.1280014514923096,,,,,,,0.0,0.2978515625,2.1280014514923096,,,,,,
10,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,resnet50,64.0,0.01,-1.0,None,0.0,1.0,0.06829632073640823,,,,,,,,,,0.0,1.0,0.06829632073640823,,,
11,2.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,resnet50,64.0,0.01,-1.0,None,0.0,0.9990234375,0.07802126556634903,,,,,,,,,,,,,0.0,0.9990234375,0.07802126556634903
12,3.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,8.0,resnet50,32.0,0.001,-1.0,None,,,,,,,,,,,,,,,,,,
